date,product,region,sales_rep,revenue,units_sold,customer_rating,discount_pct
2023-02-04,Tablet,West,Carol,59471.69,35,4.6,
2023-02-05,Headphones,North,Bob,86807.63,21,3.4,
2023-02-06,Tablet,East,Carol,51630.03,9,3.5,
2023-02-07,Headphones,West,Eve,24368.49,28,3.3,1
2023-02-08,Laptop,North,David,52544.79,46,3.7,24
2023-02-09,Phone,East,Eve,49954.81,7,4.5,2
2023-02-10,Watch,North,Bob,48693.37,16,4.0,15
2023-02-11,Laptop,North,David,64181.15,16,3.4,1
2023-02-12,Watch,South,Carol,70674.12,33,4.8,27
2023-02-13,Phone,South,David,60253.79,4,4.8,
2023-02-14,Phone,East,Alice,48004.13,4,4.7,9
2023-02-15,Laptop,South,David,66885.18,39,3.5,5
2023-02-16,Phone,East,Alice,27592.56,40,3.9,21
2023-02-17,Headphones,South,David,39259.16,17,5.0,25
2023-02-18,Phone,North,Alice,40930.58,37,4.5,10
2023-02-19,Watch,East,Bob,49535.74,39,3.1,
2023-02-20,Watch,East,Eve,57601.02,29,3.1,6
2023-02-21,Watch,North,Carol,46989.31,36,3.9,26
2023-02-22,Watch,East,David,36409.46,38,4.8,28
2023-02-23,Headphones,East,Eve,64622.75,39,4.1,14
2023-02-24,Tablet,South,Carol,46468.15,37,4.0,5
2023-02-25,Laptop,East,Carol,51531.93,35,3.2,
2023-02-26,Watch,West,Alice,58266.02,7,4.3,26
2023-02-27,Phone,North,Bob,50583.16,27,4.6,
2023-02-28,Watch,South,Bob,50649.08,28,3.8,21
2023-03-01,Phone,South,Eve,65457.1,22,4.6,19
2023-03-02,Phone,West,Bob,52270.54,14,4.9,11
2023-03-03,Watch,North,David,62941.95,7,3.4,18
2023-03-04,Headphones,North,Bob,58170.01,37,4.0,19
2023-03-05,Phone,South,Eve,80253.31,22,3.6,
2023-03-06,Phone,East,Bob,56141.2,5,4.6,14
2023-03-07,Watch,South,David,59569.6,2,4.2,
2023-03-08,Phone,North,Alice,66524.85,27,4.3,29
2023-03-09,Phone,West,Eve,50954.27,21,4.6,
2023-03-10,Watch,South,Alice,40432.2,38,3.8,
2023-03-11,Watch,North,Alice,42887.82,15,4.8,21
2023-03-12,Laptop,South,Alice,43032.4,21,4.1,
2023-03-13,Headphones,East,Carol,35745.04,10,3.3,5
2023-03-14,Headphones,South,Carol,54767.08,23,4.4,14
2023-03-15,Phone,South,Alice,40557.25,39,4.6,
2023-03-16,Headphones,North,Eve,52922.79,5,3.6,9
2023-03-17,Phone,North,David,47619.88,1,4.7,
2023-03-18,Laptop,North,David,49375.68,13,4.8,
2023-03-19,Watch,South,Bob,58340.85,21,3.6,15
2023-03-20,Watch,East,Eve,41871.51,26,5.0,
2023-03-21,Watch,West,Carol,59583.37,45,3.3,8
2023-03-22,Headphones,West,Alice,73509.62,21,3.4,
2023-03-23,Laptop,North,Bob,55146.64,18,3.4,
2023-03-24,Headphones,North,David,38268.56,37,4.8,26
2023-03-25,Headphones,South,Carol,40774.73,45,4.3,27
2023-03-26,Laptop,West,Carol,46276.06,32,3.3,
2023-03-27,Laptop,North,Alice,41076.65,36,3.9,28
2023-03-28,Laptop,East,David,35132.3,17,4.2,
2023-03-29,Laptop,East,Eve,52316.11,35,3.2,0
2023-03-30,Watch,North,Carol,46682.04,49,4.8,18
2023-03-31,Tablet,North,Alice,52845.81,11,4.6,25
2023-04-01,Tablet,West,Eve,67795.81,21,4.0,24
2023-04-02,Laptop,West,David,46454.71,26,4.9,9
2023-04-03,Tablet,South,Carol,32218.7,4,3.8,20
2023-04-04,Tablet,West,Eve,44016.61,34,5.0,14
2023-04-05,Laptop,East,Eve,61556.38,48,4.3,26
2023-04-06,Tablet,East,Eve,60151.55,18,4.3,
2023-04-07,Headphones,North,Carol,57779.59,40,3.3,18
2023-04-08,Phone,West,Carol,40629.4,35,4.8,15
2023-04-09,Phone,South,Bob,61278.54,41,3.9,20
2023-04-10,Laptop,East,David,64653.49,29,3.3,26
2023-04-11,Watch,East,Alice,39568.68,29,3.0,23
2023-04-12,Laptop,South,Eve,49376.45,38,4.1,
2023-04-13,Watch,South,Bob,80306.03,42,4.1,
2023-04-14,Phone,East,Alice,38901.89,21,4.4,1
2023-04-15,Laptop,East,Bob,24423.7,42,4.8,29
2023-04-16,Headphones,South,Carol,70743.57,13,3.2,24
2023-04-17,Tablet,East,Eve,67049.07,49,4.5,12
2023-04-18,Watch,North,Alice,43145.49,41,3.4,27
2023-04-19,Tablet,North,Alice,48305.12,17,4.7,0
2023-04-20,Tablet,South,Alice,31625.97,9,4.6,
2023-04-21,Laptop,West,Alice,51334.28,41,4.1,
2023-04-22,Tablet,South,Alice,67488.71,1,4.4,3
2023-04-23,Headphones,South,Bob,41860.93,2,3.6,6
2023-04-24,Tablet,West,Eve,63156.53,48,3.9,
2023-04-25,Laptop,West,Carol,56955.86,29,4.6,8
2023-04-26,Headphones,West,Carol,58667.25,33,3.9,3
2023-04-27,Phone,North,Carol,42735.36,10,3.7,18
2023-04-28,Tablet,East,Carol,44680.64,40,4.0,0
2023-04-29,Laptop,North,Bob,22298.41,21,4.7,9
2023-04-30,Phone,East,David,41499.96,28,3.7,
2023-05-01,Phone,North,Eve,67452.28,11,3.3,8
2023-05-02,Watch,East,Alice,36060.02,34,4.4,12
2023-05-03,Headphones,North,David,38295.48,8,4.7,
2023-05-04,Tablet,West,Carol,59602.85,22,3.2,9
2023-05-05,Laptop,South,David,56041.52,8,3.5,5
2023-05-06,Watch,North,Eve,60347.95,49,3.3,15
2023-05-07,Headphones,East,Alice,32551.69,15,3.7,5
2023-05-08,Watch,West,Alice,88460.87,17,3.9,
2023-05-09,Headphones,North,Eve,31763.7,23,4.5,9
2023-05-10,Headphones,North,Eve,52313.71,24,4.3,17
2023-05-11,Tablet,West,Carol,47620.17,45,4.2,26
2023-05-12,Headphones,North,Alice,32200.38,19,3.7,
2023-05-13,Watch,South,David,44446.86,5,4.7,17
2023-05-14,Headphones,North,Bob,50349.61,32,3.9,2
2023-05-15,Tablet,South,Bob,40250.4,44,5.0,
2023-05-16,Tablet,South,Eve,64058.35,1,4.3,
2023-05-17,Watch,West,Carol,47575.61,23,3.3,20
2023-05-18,Phone,North,Bob,29880.88,37,4.4,24
2023-05-19,Phone,West,Alice,28608.12,8,3.7,27
2023-05-20,Headphones,North,Eve,59092.48,13,4.4,14
2023-05-21,Laptop,North,David,27698.44,8,3.1,14
2023-05-22,Headphones,East,Eve,54746.39,23,3.3,3
2023-05-23,Watch,North,David,56669.83,43,4.7,
2023-05-24,Watch,West,Eve,35069.67,1,3.5,26
2023-05-25,Watch,South,Eve,63361.07,45,4.7,
2023-05-26,Watch,North,Eve,24233.1,24,3.6,26
2023-05-27,Watch,East,David,54446.88,35,4.3,
2023-05-28,Tablet,West,David,49387.13,24,4.4,
2023-05-29,Phone,North,Eve,48215.03,17,4.0,23
2023-05-30,Watch,West,Bob,32331.55,5,3.6,
2023-05-31,Laptop,East,Carol,35944.67,20,3.4,16
2023-06-01,Laptop,East,Carol,74282.03,21,3.1,
2023-06-02,Laptop,West,Carol,68227.33,40,3.6,24
2023-06-03,Laptop,North,David,61131.27,31,4.3,8
2023-06-04,Tablet,South,David,64097.72,46,4.9,
2023-06-05,Laptop,East,Bob,62690.2,36,4.7,
2023-06-06,Watch,North,Carol,45149.66,11,4.5,19
2023-06-07,Headphones,North,Carol,50714.05,15,4.6,12
2023-06-08,Laptop,South,Eve,27912.37,19,4.3,7
2023-06-09,Tablet,East,David,48654.57,7,3.5,6
2023-06-10,Tablet,East,Carol,67751.21,28,4.8,16
2023-06-11,Laptop,North,Bob,40089.39,43,4.3,
2023-06-12,Headphones,North,Bob,65347.12,5,4.1,22
2023-06-13,Laptop,South,Carol,51373.79,5,3.2,14
2023-06-14,Tablet,South,David,29219.42,30,3.9,19
2023-06-15,Phone,East,Bob,33390.21,32,3.9,14
2023-06-16,Watch,West,Eve,63789.54,8,4.7,0
2023-06-17,Tablet,East,Bob,58287.86,10,4.1,24
2023-06-18,Laptop,North,Alice,51526.46,38,3.8,13
2023-06-19,Watch,East,Alice,45889.52,47,5.0,4
2023-06-20,Laptop,West,David,53158.52,32,3.2,10
2023-06-21,Laptop,South,Carol,63204.44,48,3.8,
2023-06-22,Phone,West,David,72137.8,28,3.1,
2023-06-23,Watch,West,David,72855.26,17,4.5,7
2023-06-24,Watch,West,David,55579.4,31,4.8,10
2023-06-25,Phone,South,David,47421.02,8,3.6,
2023-06-26,Tablet,West,Eve,52193.72,40,4.7,
2023-06-27,Laptop,West,Eve,57831.81,25,3.6,
2023-06-28,Headphones,West,Bob,57771.0,9,4.8,
2023-06-29,Laptop,North,Alice,69619.8,2,4.5,25
2023-06-30,Laptop,West,David,81736.34,15,4.6,0
2023-07-01,Tablet,South,Bob,46921.18,3,3.0,10
2023-07-02,Laptop,West,Alice,82338.27,49,4.9,15
2023-07-03,Phone,West,Carol,67583.59,36,4.5,
2023-07-04,Phone,South,Eve,48487.66,4,3.6,
2023-07-05,Watch,West,Alice,72478.47,14,4.7,15
2023-07-06,Headphones,South,Carol,75284.72,41,3.6,22
2023-07-07,Laptop,West,Alice,43095.57,41,4.7,9
2023-07-08,Laptop,South,Eve,75983.23,25,3.2,
2023-07-09,Tablet,West,Eve,66126.24,10,4.4,5
2023-07-10,Phone,West,Bob,85528.39,21,4.1,18
2023-07-11,Headphones,North,David,43639.42,36,3.2,3
2023-07-12,Watch,North,Alice,44698.6,12,3.5,26
2023-07-13,Phone,West,Alice,19600.07,27,3.0,12
2023-07-14,Watch,West,Carol,58567.91,40,3.9,23
2023-07-15,Tablet,East,Eve,55628.77,2,3.6,
2023-07-16,Tablet,South,Alice,41555.09,13,4.2,
2023-07-17,Laptop,East,Eve,48772.24,32,3.6,
2023-07-18,Headphones,North,Alice,30331.68,31,3.6,5
2023-07-19,Watch,North,Bob,67976.67,16,4.5,0
2023-07-20,Phone,North,David,42654.51,32,3.1,22
2023-07-21,Tablet,North,Alice,96410.74,32,4.8,
2023-07-22,Laptop,West,Eve,47365.98,34,4.7,26
2023-07-23,Laptop,North,Bob,38605.72,11,4.3,13
2023-07-24,Watch,West,Alice,43815.3,10,4.2,7
2023-07-25,Tablet,West,Carol,28820.59,15,4.8,18
2023-07-26,Headphones,North,David,57234.08,17,3.4,13
2023-07-27,Tablet,North,Alice,43701.5,40,3.2,9
2023-07-28,Watch,South,Bob,66968.79,18,3.5,
2023-07-29,Watch,East,Carol,45878.79,9,4.6,8
2023-07-30,Tablet,North,Bob,70766.63,25,3.1,
2023-07-31,Watch,South,Bob,61361.84,40,4.2,
2023-08-01,Tablet,South,Carol,50428.95,14,5.0,
2023-08-02,Phone,East,Bob,73703.49,25,4.7,24
2023-08-03,Tablet,West,Carol,64284.4,22,4.0,6
2023-08-04,Tablet,North,Alice,94193.19,30,3.1,16
2023-08-05,Watch,East,Carol,43858.17,20,4.7,
2023-08-06,Watch,North,Carol,51149.24,21,4.2,27
2023-08-07,Laptop,South,David,73530.64,44,3.2,0
2023-08-08,Laptop,South,Carol,26846.93,32,3.2,21
2023-08-09,Phone,West,Carol,69754.15,46,4.8,4
2023-08-10,Laptop,South,Alice,56589.54,49,4.3,
2023-08-11,Tablet,South,David,36676.84,21,4.7,17
2023-08-12,Watch,East,Eve,29554.41,35,4.8,23
2023-08-13,Laptop,North,Alice,39912.66,32,4.1,
2023-08-14,Laptop,North,Alice,15727.71,30,4.0,20
2023-08-15,Phone,East,Eve,42656.91,39,3.9,1
2023-08-16,Phone,West,Carol,59338.35,49,3.6,28
2023-08-17,Tablet,North,Bob,42855.49,12,3.9,
2023-08-18,Watch,South,David,70824.69,41,4.5,
2023-08-19,Phone,North,Bob,74899.21,47,4.2,
2023-08-20,Laptop,South,Eve,69134.67,18,4.8,27
2023-08-21,Watch,West,Alice,53459.61,21,3.9,5
2023-08-22,Watch,East,Alice,15129.81,13,4.2,
2023-08-23,Laptop,North,David,39444.54,21,4.3,7
2023-08-24,Phone,East,Alice,47869.42,8,4.2,3
2023-08-25,Laptop,North,Alice,36591.99,46,4.4,
2023-08-26,Watch,South,David,47907.42,40,3.5,27
2023-08-27,Headphones,East,David,74151.01,46,4.0,10
2023-08-28,Headphones,North,Eve,25313.35,7,3.2,
2023-08-29,Tablet,South,Alice,77175.38,23,3.8,
2023-08-30,Laptop,East,Alice,63270.9,44,4.0,27
2023-08-31,Laptop,East,Eve,54023.25,32,4.3,17
2023-09-01,Tablet,North,Carol,39295.75,11,4.9,1
2023-09-02,Tablet,North,Carol,36890.74,22,4.2,21
2023-09-03,Tablet,North,Carol,25606.73,22,4.5,
2023-09-04,Watch,South,Eve,75751.48,43,4.0,
2023-09-05,Laptop,North,Alice,73064.17,25,4.3,24
2023-09-06,Watch,East,Eve,28905.73,22,3.1,
2023-09-07,Tablet,East,Eve,41710.58,28,3.5,
2023-09-08,Laptop,North,Carol,56497.17,29,3.7,21
2023-09-09,Watch,North,Bob,45507.36,13,3.9,6
2023-09-10,Watch,West,Alice,21219.88,18,3.1,28
2023-09-11,Tablet,East,Carol,40133.41,2,3.3,10
2023-09-12,Laptop,South,Bob,79265.51,29,3.6,
2023-09-13,Tablet,West,Bob,41150.32,21,4.9,23
2023-09-14,Laptop,North,David,47547.99,15,3.7,
2023-09-15,Headphones,North,Alice,32822.34,27,4.0,27
2023-09-16,Phone,East,Bob,58816.44,31,3.4,14
2023-09-17,Phone,North,Carol,51727.28,15,4.2,0
2023-09-18,Phone,South,David,38869.7,23,3.6,22
2023-09-19,Tablet,East,Alice,30430.17,24,3.4,2
2023-09-20,Headphones,North,Eve,71068.15,44,4.0,
2023-09-21,Laptop,East,Carol,25916.85,13,3.0,5
2023-09-22,Watch,North,Bob,57557.24,22,3.0,17
2023-09-23,Laptop,North,Bob,17691.81,43,3.4,
2023-09-24,Watch,North,Carol,60608.18,37,3.1,0
2023-09-25,Laptop,South,Bob,64554.48,33,3.2,5
2023-09-26,Headphones,South,David,66421.76,3,3.7,
2023-09-27,Watch,East,Alice,47581.87,19,4.6,20
2023-09-28,Tablet,North,David,73760.05,23,4.1,15
2023-09-29,Laptop,North,Bob,84616.88,29,4.0,28
2023-09-30,Laptop,South,Eve,45175.65,30,3.6,4
2023-10-01,Watch,North,Alice,43234.92,39,4.9,16
2023-10-02,Tablet,South,Alice,52237.66,44,3.8,9
2023-10-03,Tablet,North,Carol,42834.8,47,3.2,27
2023-10-04,Headphones,East,Carol,40641.95,25,4.2,
2023-10-05,Tablet,North,Eve,41948.92,37,3.2,17
2023-10-06,Tablet,North,Alice,75736.34,47,3.7,6
2023-10-07,Tablet,West,Eve,61578.23,8,4.0,
2023-10-08,Phone,South,Carol,42785.81,42,4.7,12
2023-10-09,Headphones,North,Carol,13173.12,16,4.0,14
2023-10-10,Laptop,North,Alice,26833.03,8,4.4,
2023-10-11,Watch,West,David,57551.44,1,5.0,18
2023-10-12,Laptop,West,Bob,18176.66,44,3.3,2
2023-10-13,Headphones,South,Carol,54394.9,5,3.5,3
2023-10-14,Watch,West,Carol,34016.54,3,3.8,
2023-10-15,Headphones,East,David,51377.09,1,3.8,
2023-10-16,Tablet,West,David,50957.84,4,3.8,3
2023-10-17,Watch,East,Eve,51808.85,40,4.8,11
2023-10-18,Tablet,South,Eve,44083.67,35,4.4,
2023-10-19,Laptop,South,Bob,43590.72,32,4.2,26
2023-10-20,Laptop,South,Bob,39188.14,42,3.6,
2023-10-21,Watch,South,Alice,57258.38,34,4.6,9
2023-10-22,Watch,South,Eve,62077.89,43,4.9,22
2023-10-23,Headphones,East,Carol,31715.41,25,4.6,24
2023-10-24,Headphones,East,Eve,49225.57,10,3.0,
2023-10-25,Tablet,South,Carol,52948.73,21,4.3,28
2023-10-26,Watch,West,David,52756.57,46,3.1,
2023-10-27,Laptop,North,Eve,52501.54,39,3.5,19
2023-10-28,Headphones,South,David,43969.48,27,3.1,23
2023-10-29,Headphones,West,Bob,54185.46,27,4.2,
2023-10-30,Laptop,North,Bob,59270.43,2,4.4,
2023-10-31,Headphones,South,Alice,52115.55,41,3.2,22
2023-11-01,Tablet,South,Eve,57589.1,48,3.8,13
2023-11-02,Watch,East,David,64855.3,13,3.9,22
2023-11-03,Laptop,North,Carol,22235.89,9,3.7,
2023-11-04,Watch,North,Bob,64151.96,36,3.2,3
2023-11-05,Headphones,West,Bob,55136.42,22,3.8,13
2023-11-06,Headphones,East,Carol,33325.62,42,4.5,9
2023-11-07,Laptop,East,David,62037.06,26,3.1,16
2023-11-08,Tablet,East,David,44025.19,12,3.2,9
2023-11-09,Phone,East,Eve,46070.5,17,3.7,25
2023-11-10,Laptop,North,Eve,42384.8,14,4.9,6
2023-11-11,Phone,North,Alice,54535.98,14,4.3,15
2023-11-12,Phone,South,Bob,38219.7,34,4.4,0
2023-11-13,Tablet,South,Eve,63522.12,20,3.7,
2023-11-14,Phone,East,David,47917.06,11,4.2,20
2023-11-15,Phone,East,Carol,44536.96,16,3.0,28
2023-11-16,Tablet,East,David,61293.14,31,4.3,8
2023-11-17,Phone,South,Bob,45206.65,6,4.8,
2023-11-18,Phone,West,David,64222.65,19,4.2,
2023-11-19,Phone,West,Alice,64693.89,37,4.7,12
2023-11-20,Laptop,South,Bob,29977.94,4,4.4,
2023-11-21,Laptop,South,Carol,66638.9,47,3.2,6
2023-11-22,Laptop,South,Alice,28069.46,4,4.8,
2023-11-23,Tablet,South,Bob,67573.71,20,3.1,
2023-11-24,Headphones,South,Carol,80425.36,10,4.1,
2023-11-25,Phone,South,Alice,63122.52,24,3.3,
2023-11-26,Phone,East,Alice,17645.29,35,3.0,9
2023-11-27,Tablet,East,Bob,65953.49,26,3.8,
2023-11-28,Phone,East,Eve,83691.93,37,3.6,16
2023-11-29,Laptop,East,Alice,45454.53,38,4.0,11
2023-11-30,Headphones,South,Alice,49479.45,21,4.2,22
2023-12-01,Watch,West,Carol,32172.7,40,3.1,15
2023-12-02,Phone,North,David,54681.19,39,3.2,2
2023-12-03,Laptop,South,Bob,69037.66,21,4.1,29
2023-12-04,Watch,North,Bob,60466.06,10,3.7,
2023-12-05,Headphones,West,Eve,97129.5,38,4.5,21
2023-12-06,Watch,East,Eve,50495.41,46,4.3,8
2023-12-07,Laptop,West,Bob,25539.9,4,4.7,28
2023-12-08,Watch,South,Eve,52564.56,45,4.4,14
2023-12-09,Tablet,East,Carol,13753.22,20,3.9,4
2023-12-10,Watch,South,Bob,42003.44,17,4.3,22
2023-12-11,Phone,East,Eve,74365.73,7,3.6,12
2023-12-12,Phone,North,Bob,54877.0,4,3.6,13
2023-12-13,Tablet,North,David,52691.25,29,4.6,
2023-12-14,Laptop,North,Alice,77311.71,14,3.9,14
2023-12-15,Phone,West,Bob,45941.0,3,4.6,
2023-12-16,Headphones,South,Alice,68927.31,24,4.6,22
2023-12-17,Phone,West,Eve,51939.6,37,4.7,12
2023-12-18,Phone,North,Alice,55700.71,16,4.8,
2023-12-19,Laptop,South,Bob,31740.43,4,3.9,
2023-12-20,Watch,North,David,42769.3,24,3.6,
2023-12-21,Phone,West,Eve,29037.23,34,4.2,20
2023-12-22,Tablet,West,Bob,48571.32,30,3.7,1
2023-12-23,Watch,West,Eve,55856.04,18,4.2,4
2023-12-24,Headphones,North,Carol,33349.43,19,4.4,5
2023-12-25,Laptop,South,Alice,80737.68,31,4.4,11
2023-12-26,Headphones,South,Carol,54171.59,19,3.7,17
2023-12-27,Watch,North,Bob,50866.93,49,3.3,29
2023-12-28,Watch,South,David,61544.87,46,3.9,21
2023-12-29,Watch,North,Eve,37566.08,19,3.3,21
2023-12-30,Headphones,South,Alice,52452.16,22,4.8,
2023-12-31,Watch,East,Eve,39247.01,24,3.7,29
2024-01-01,Headphones,East,Bob,73380.2,45,3.3,16
2024-01-02,Watch,West,Eve,34120.41,12,3.1,
2024-01-03,Tablet,East,Alice,50947.48,30,4.3,10
2024-01-04,Watch,East,Bob,54939.74,38,4.3,
2024-01-05,Headphones,East,Eve,55922.39,31,3.7,
2024-01-06,Phone,North,David,41281.47,36,3.1,13
2024-01-07,Watch,East,Bob,36567.36,19,3.8,
2024-01-08,Phone,East,Bob,41498.07,48,3.6,9
2024-01-09,Tablet,West,David,57924.88,45,4.4,14
2024-01-10,Laptop,East,Carol,47842.31,36,4.2,
2024-01-11,Tablet,East,Alice,61943.13,30,3.7,18
2024-01-12,Watch,South,Carol,57155.06,49,3.4,
2024-01-13,Phone,West,Eve,15846.31,33,5.0,1
2024-01-14,Phone,West,David,53712.47,18,3.9,8
2024-01-15,Headphones,West,Carol,83756.82,49,4.4,
2024-01-16,Phone,West,Bob,69879.04,28,3.3,
2024-01-17,Headphones,West,Eve,56330.2,47,4.0,10
2024-01-18,Laptop,West,Eve,34109.12,11,3.1,13
2024-01-19,Watch,North,Carol,57163.31,45,4.0,
2024-01-20,Headphones,East,Carol,61096.25,33,4.9,22
2024-01-21,Laptop,West,David,46193.8,17,3.8,14
2024-01-22,Phone,East,Alice,54751.13,6,3.1,21
2024-01-23,Phone,East,Carol,72644.94,4,3.1,18
2024-01-24,Laptop,North,Carol,37140.88,20,3.8,21
2024-01-25,Phone,West,Bob,34125.51,48,3.3,14
2024-01-26,Laptop,South,Eve,60390.49,47,3.0,29
2024-01-27,Headphones,North,Alice,56863.14,27,4.5,27
2024-01-28,Headphones,South,Bob,65432.57,15,3.9,
2024-01-29,Laptop,East,David,58546.91,6,3.6,7
2024-01-30,Headphones,East,David,41483.67,47,4.8,10
2024-01-31,Headphones,North,Carol,56482.89,14,3.2,28
2024-02-01,Headphones,North,Carol,32868.1,11,4.9,8
2024-02-02,Tablet,South,David,46245.22,39,3.6,14
2024-02-03,Watch,West,Carol,57541.99,9,4.8,0
2024-02-04,Phone,South,Alice,44592.29,26,4.2,29
2024-02-05,Tablet,North,Carol,87020.78,16,4.7,0
2024-02-06,Headphones,South,Eve,21617.24,5,5.0,
2024-02-07,Laptop,North,Carol,41787.64,10,3.6,2
2024-02-08,Headphones,South,Bob,35933.3,3,4.9,9
2024-02-09,Watch,North,Alice,39494.77,13,3.8,
2024-02-10,Headphones,North,Bob,40355.03,43,3.8,14
2024-02-11,Laptop,North,Bob,30103.69,49,3.7,9
2024-02-12,Watch,West,Eve,61290.53,30,4.1,0
2024-02-13,Headphones,South,Alice,41793.57,45,3.3,
2024-02-14,Watch,South,Alice,52453.6,6,4.1,
2024-02-15,Phone,South,Alice,43477.61,17,4.1,1
2024-02-16,Phone,North,Alice,39636.79,45,4.5,
2024-02-17,Headphones,South,Alice,75084.19,19,4.7,12
2024-02-18,Watch,South,Eve,63843.98,42,3.9,21
2024-02-19,Laptop,North,Carol,21976.99,35,3.6,
2024-02-20,Headphones,East,Bob,20387.94,46,3.5,1
2024-02-21,Phone,North,Alice,65639.13,26,3.4,28
2024-02-22,Phone,South,Carol,42202.2,5,3.1,15
2024-02-23,Headphones,North,Carol,25263.76,29,3.7,14
2024-02-24,Watch,East,Bob,65686.03,37,3.5,12
2024-02-25,Phone,North,Eve,52536.86,20,4.9,15
2024-02-26,Watch,South,David,53773.57,49,4.1,16
2024-02-27,Phone,East,David,62143.09,21,3.7,20
2024-02-28,Phone,West,Carol,30350.34,10,4.2,28
2024-02-29,Tablet,South,Bob,25527.49,5,3.3,28
2024-03-01,Phone,East,David,73714.31,36,3.9,6
2024-03-02,Laptop,East,Carol,28442.5,6,4.3,23
2024-03-03,Headphones,West,Eve,31666.43,26,4.0,
2024-03-04,Headphones,North,David,34663.47,4,3.8,16
2024-03-05,Watch,North,Carol,81199.19,39,5.0,
2024-03-06,Phone,South,Carol,57400.75,39,4.8,12
2024-03-07,Laptop,West,Alice,64481.12,35,4.2,4
2024-03-08,Watch,North,Eve,52942.51,1,4.1,25
2024-03-09,Tablet,West,Alice,40971.69,24,4.2,16
2024-03-10,Watch,North,Bob,59469.37,36,3.4,2
2024-03-11,Watch,East,Alice,26650.76,6,3.8,6
2024-03-12,Phone,North,Alice,33570.75,41,3.1,25
2024-03-13,Tablet,West,David,60994.63,46,4.0,16
2024-03-14,Watch,East,Carol,29641.17,44,4.1,6
2024-03-15,Laptop,East,Eve,47163.78,31,3.5,20
2024-03-16,Laptop,East,Alice,47847.31,20,4.9,
2024-03-17,Headphones,West,Eve,42070.07,24,4.8,16
2024-03-18,Tablet,South,Alice,20733.22,25,4.4,29
2024-03-19,Tablet,South,Bob,40566.07,36,4.1,16
2024-03-20,Headphones,South,Alice,37625.47,21,4.7,
2024-03-21,Watch,West,David,52421.6,30,3.3,24
2024-03-22,Tablet,East,Carol,51657.36,24,4.6,
2024-03-23,Laptop,South,Bob,55669.42,44,3.2,28
2024-03-24,Laptop,West,Alice,39860.21,42,4.6,2
2024-03-25,Phone,South,Eve,57841.67,30,3.6,14
2024-03-26,Tablet,North,Bob,26659.9,22,4.8,
2024-03-27,Watch,South,Bob,22671.43,28,4.9,20
2024-03-28,Headphones,South,Alice,14966.41,7,3.3,10
2024-03-29,Headphones,East,Bob,42510.54,35,3.9,25
2024-03-30,Watch,West,Eve,38700.53,28,5.0,27
2024-03-31,Phone,East,Bob,61839.73,14,4.0,
2024-04-01,Headphones,East,Eve,40270.06,10,4.7,24
2024-04-02,Tablet,East,Alice,54100.65,16,4.2,21
2024-04-03,Phone,East,Carol,62199.45,16,3.8,27
2024-04-04,Tablet,East,Bob,39705.21,31,3.6,
2024-04-05,Laptop,South,Carol,54470.78,42,3.4,23
2024-04-06,Phone,East,Eve,65028.91,25,4.5,23
2024-04-07,Headphones,East,Bob,31427.56,13,3.8,0
2024-04-08,Phone,West,David,50372.79,6,4.0,
2024-04-09,Phone,North,Carol,39769.48,44,4.0,24
