model,dtype,n_steps,kl_mean,js_mean,flip_rate,prompt_len
llama2,fp32,32,3.7383078133057523e-08,8.23782620590352e-09,0.0,116
llama2,fp16,32,6.553841768064157,0.35882585556743485,0.5625,50
llama2,fp32,32,2.8132692238280743e-08,5.8065405626056554e-09,0.0,50
llama2,fp16,32,6.031335765044332e-06,1.5103970354424234e-06,0.0,62
llama2,fp32,32,1.180337250161756e-08,2.0793181482181566e-09,0.0,62
llama2,fp16,32,4.387504107583595e-06,1.1030838764636286e-06,0.0,66
llama2,fp32,32,3.631784051272291e-08,1.0862632834895969e-08,0.0,66
llama2,fp16,32,8.269815690020721e-07,2.03012525401558e-07,0.0,51
llama2,fp32,32,2.6162420377687234e-08,3.2815072534275735e-09,0.0,51
llama2,fp16,32,4.688842090594392e-06,1.187730108598295e-06,0.0,74
llama2,fp32,32,3.00790869434131e-08,7.753288424477978e-09,0.0,74
llama2,fp16,32,1.3715931768409906e-06,3.384221513580421e-07,0.0,50
llama2,fp32,32,2.592050482586039e-08,1.2121510314586081e-09,0.0,50
llama2,fp16,32,5.1573949071404e-06,1.287063245258846e-06,0.0,132
llama2,fp32,32,3.114230742728985e-08,9.862715220909646e-09,0.0,132
llama2,fp16,32,4.775128759959557e-06,1.1980900558317131e-06,0.0,69
llama2,fp32,32,1.5501523231709058e-08,9.99550575295216e-09,0.0,69
llama2,fp16,32,6.564605706360638e-06,1.632832687670227e-06,0.0,71
llama2,fp32,32,2.5634162334475796e-08,9.929046917989126e-09,0.0,71
llama2,fp16,32,7.144791317493485,0.40323273004754334,0.625,110
llama2,fp32,32,1.9802022513046302e-08,3.6713805628453555e-09,0.0,110
llama2,fp16,32,1.1713193857065818e-06,2.913015325067825e-07,0.0,51
llama2,fp32,32,3.507375191669215e-08,4.65542383983053e-09,0.0,51
llama2,fp16,32,1.0009477384720356e-06,2.4494568355570845e-07,0.0,56
llama2,fp32,32,3.036749494922386e-08,4.3007460199476905e-09,0.0,56
llama2,fp16,32,3.7581166889566475e-06,9.435372924637697e-07,0.0,58
llama2,fp32,32,3.8187254691735006e-08,1.1089339224668038e-08,0.0,58
llama2,fp16,32,6.787264370533563e-06,1.6999401961648175e-06,0.0,96
llama2,fp32,32,3.0353701802043886e-08,1.2895537332413554e-08,0.0,96
llama2,fp16,32,4.802397522318813e-06,1.2028515842810172e-06,0.0,51
llama2,fp32,32,3.079983090792382e-08,6.217016942922093e-09,0.0,51
llama2,fp16,32,2.133172746887624e-06,5.401481248945572e-07,0.0,127
llama2,fp32,32,2.8420564063616482e-08,7.750164093822676e-09,0.0,127
llama2,fp16,32,7.217064562414777e-06,1.8161916080783325e-06,0.0,75
llama2,fp32,32,1.959265734374771e-08,7.081534227071362e-09,0.0,75
llama2,fp16,32,1.7624021113604726e-06,4.287859523000037e-07,0.0,71
llama2,fp32,32,2.059361658979242e-08,4.0473954188158245e-09,0.0,71
llama2,fp16,32,6.118040046576567e-06,1.5284668571924342e-06,0.0,91
llama2,fp32,32,2.7527278005645694e-08,7.253647939242658e-09,0.0,91
llama2,fp16,32,6.923033837313852e-07,1.7562230164580583e-07,0.0,68
llama2,fp32,32,2.709163154923644e-08,4.8467886232250734e-09,0.0,68
llama2,fp16,32,2.0597352337059505e-06,5.217043617944395e-07,0.0,52
llama2,fp32,32,2.6952113494141394e-08,2.3840865221672752e-09,0.0,52
llama2,fp16,32,6.8572553859613805e-06,1.7152795117603148e-06,0.0,50
llama2,fp32,32,3.2408761733299096e-08,6.460284238118952e-09,0.0,50
llama2,fp16,32,8.88646176200325e-07,2.159730812800742e-07,0.0,94
llama2,fp32,32,1.9039216998112396e-08,3.7133853596216237e-09,0.0,94
llama2,fp16,32,7.572893517826529e-07,1.9026320502435468e-07,0.0,74
llama2,fp32,32,1.9727329325647247e-08,4.961783321016933e-09,0.0,74
llama2,fp16,32,1.9281965017992064e-06,4.835808645811679e-07,0.0,50
llama2,fp32,32,2.494983460110678e-08,5.342989153542255e-09,0.0,50
llama2,fp16,32,8.064748756364537e-06,2.009328643859387e-06,0.0,80
llama2,fp32,32,3.295475284326166e-08,6.47016547977719e-09,0.0,80
llama2,fp16,32,6.782537361971208e-06,1.7033073056935133e-06,0.0,91
llama2,fp32,32,3.2642546804462214e-08,1.0795564456267392e-08,0.0,91
llama2,fp16,32,4.927160013212806e-06,1.2323220347498776e-06,0.0,69
llama2,fp32,32,2.8962107892493982e-08,1.0535595562632949e-08,0.0,69
llama2,fp16,32,5.8757201450987395e-06,1.4712953890771985e-06,0.0,53
llama2,fp32,32,3.6898135435947665e-08,9.355088093077057e-09,0.0,53
llama2,fp16,32,6.9477785467064734e-06,1.7341090833289385e-06,0.0,82
llama2,fp32,32,1.6670108293759256e-08,1.138542058548575e-08,0.0,82
llama2,fp16,32,4.5146739699464256e-06,1.1392305434010375e-06,0.0,49
llama2,fp32,32,3.27768765739922e-08,5.131067105923481e-09,0.0,49
llama2,fp16,32,1.2332329675235343e-06,3.1295282904020283e-07,0.0,51
llama2,fp32,32,2.2867410034987934e-08,5.362316568210956e-09,0.0,51
llama2,fp16,32,5.575131055479687e-06,1.385696945410686e-06,0.0,58
llama2,fp32,32,3.017077612743613e-08,1.1481960687786952e-08,0.0,58
llama2,fp16,32,6.839030534111501e-07,1.6456908014106375e-07,0.0,96
llama2,fp32,32,2.418897565581446e-08,6.6238039046762065e-09,0.0,96
llama2,fp16,32,6.922164938139019e-06,1.7266478232746962e-06,0.0,78
llama2,fp32,32,2.8184211769977097e-08,1.193254803993904e-08,0.0,78
llama2,fp16,32,5.672199828166136e-06,1.424003731098633e-06,0.0,88
llama2,fp32,32,2.371712383431035e-08,7.712672455990194e-09,0.0,88
llama2,fp16,32,0.0645139952401026,0.012368350854172094,0.0625,105
llama2,fp32,32,2.4939534014334352e-08,1.5520944408181636e-08,0.0,105
llama2,fp16,32,2.7771635865425637e-06,7.026303098789377e-07,0.0,72
llama2,fp32,32,3.355335050775343e-08,6.195133051521695e-09,0.0,72
llama2,fp16,32,5.522261714574483e-07,1.31121101587528e-07,0.0,75
llama2,fp32,32,1.7301296673100097e-08,3.139219834763767e-09,0.0,75
llama2,fp16,32,8.970396820906501e-07,2.2371654237463012e-07,0.0,109
llama2,fp32,32,3.632725747992893e-08,5.177959255808773e-09,0.0,109
llama2,fp16,32,1.0311872795654153e-06,2.5207250187175845e-07,0.0,57
llama2,fp32,32,2.5976238585373283e-08,4.064244642221215e-09,0.0,57
llama2,fp16,32,8.532877215916557e-07,2.1213745754478097e-07,0.0,87
llama2,fp32,32,1.6554636127208422e-08,1.6713282147140518e-09,0.0,87
llama2,fp16,32,1.1480346293613053e-06,2.809225447264474e-07,0.0,100
llama2,fp32,32,1.7206762195631775e-08,8.275665482754269e-09,0.0,100
llama2,fp16,32,5.981860859094468e-06,1.4914055670445237e-06,0.0,51
llama2,fp32,32,3.443870277841654e-08,9.943414980284615e-09,0.0,51
llama2,fp16,32,6.569148617074916e-06,1.6252307473152428e-06,0.0,90
llama2,fp32,32,4.266676259523372e-08,1.0860333798934363e-08,0.0,90
llama2,fp16,32,2.470362425510686e-06,6.180730416222024e-07,0.0,74
llama2,fp32,32,1.3586530268894226e-08,5.982050469560685e-09,0.0,74
llama2,fp16,32,1.6569502918617474e-06,4.13448359160018e-07,0.0,53
llama2,fp32,32,2.7593659156222028e-08,4.501899701549877e-09,0.0,53
llama2,fp16,32,6.196805848679432e-06,1.5563085054015602e-06,0.0,82
llama2,fp32,32,2.5603595313339333e-08,1.0974432120003375e-08,0.0,82
llama2,fp16,32,8.248470609206748e-06,2.0684434914319816e-06,0.0,119
llama2,fp32,32,3.1818900292357455e-08,6.061690971653072e-09,0.0,119
llama2,fp16,32,6.5367538819582904e-06,1.6312837301246663e-06,0.0,141
llama2,fp32,32,3.174841577482934e-08,1.5942959535886203e-08,0.0,141
llama2,fp16,32,1.6226018946241538e-06,4.1302165887380227e-07,0.0,53
llama2,fp32,32,3.9191208223154916e-08,2.8726881567964213e-09,0.0,53
llama2,fp16,32,1.3538938534729539e-06,3.379055441010692e-07,0.0,62
llama2,fp32,32,2.133963779640813e-08,4.086218154640553e-09,0.0,62
llama2,fp16,32,7.476704777076293e-06,1.881369674161526e-06,0.0,44
llama2,fp32,32,4.088411700853278e-08,1.1612569683627783e-08,0.0,44
llama2,fp16,32,2.517325220025013e-06,6.249834410484989e-07,0.0,47
llama2,fp32,32,1.3886788031124142e-08,3.972896237469312e-09,0.0,47
llama2,fp16,32,6.953060804448796e-06,1.7365295611471154e-06,0.0,153
llama2,fp32,32,2.765446349695111e-08,6.35268326831806e-09,0.0,153
llama2,fp16,32,6.623281389561697e-06,1.666721041571062e-06,0.0,45
llama2,fp32,32,2.6685038722121246e-08,1.0027355804194393e-08,0.0,45
llama2,fp16,32,1.4873341216414815e-06,3.6363492122992724e-07,0.0,62
llama2,fp32,32,2.7236073202319133e-08,2.907478417746301e-09,0.0,62
llama2,fp16,32,1.7596450132550956e-06,4.364236106946251e-07,0.0,47
llama2,fp32,32,3.2863640683777895e-08,4.666048254373112e-09,0.0,47
llama2,fp16,32,1.7127514495007823e-06,4.220267314364312e-07,0.0,69
llama2,fp32,32,2.1065779204354484e-08,7.171458993814571e-09,0.0,69
llama2,fp16,32,1.37901009389374e-06,3.391139748593064e-07,0.0,84
llama2,fp32,32,2.7102507408477416e-08,3.3618733717016847e-09,0.0,84
llama2,fp16,32,7.3086195682137145e-06,1.827464827797165e-06,0.0,99
llama2,fp32,32,4.2475061579061446e-08,1.3484837940724859e-08,0.0,99
llama2,fp16,32,4.6782194411676414e-06,1.1783364000095276e-06,0.0,64
llama2,fp32,32,3.2356136214772846e-08,1.16503922065192e-08,0.0,64
llama2,fp16,32,1.2019324411860488e-06,2.9437566516354874e-07,0.0,61
llama2,fp32,32,1.085354569847069e-08,2.11667566926612e-09,0.0,61
llama2,fp16,32,7.613207938517164e-07,1.9307127875622943e-07,0.0,71
llama2,fp32,32,2.120308448434749e-08,4.808557631935662e-10,0.0,71
llama2,fp16,32,3.748900737177152e-06,9.394426161435376e-07,0.0,60
llama2,fp32,32,2.6214672987912024e-08,3.4287255673559613e-09,0.0,60
llama2,fp16,32,8.290864487392469e-06,2.0725786479269814e-06,0.0,71
llama2,fp32,32,4.3304276775568695e-08,6.9575960132128856e-09,0.0,71
llama2,fp16,32,9.564897877067935e-07,2.4219617128506954e-07,0.0,72
llama2,fp32,32,2.055150466473421e-08,1.0811943510630195e-09,0.0,72
llama2,fp16,32,6.101515573675442e-06,1.52748795656521e-06,0.0,84
llama2,fp32,32,5.376905720666514e-08,1.147587258554239e-08,0.0,84
llama2,fp16,32,1.5291342898571259e-06,3.9344474928038053e-07,0.0,65
llama2,fp32,32,3.214270266616026e-08,4.1520226007341066e-09,0.0,65
llama2,fp16,32,1.460254506202574e-06,3.720741159896068e-07,0.0,75
llama2,fp32,32,2.550091054986936e-08,4.027016530135097e-09,0.0,75
llama2,fp16,32,7.758064972662737e-07,1.876263991951177e-07,0.0,41
llama2,fp32,32,2.200327867130092e-08,4.608954646753705e-09,0.0,41
llama2,fp16,32,5.203062222847166e-06,1.3045367368569316e-06,0.0,122
llama2,fp32,32,3.170439510924439e-08,7.300808180232821e-09,0.0,122
llama2,fp16,32,1.4165046167136097e-06,3.54424315202051e-07,0.0,50
llama2,fp32,32,1.5564829411451875e-08,4.714869716870851e-09,0.0,50
llama2,fp16,32,9.793420901793581e-06,2.449987140829002e-06,0.0,43
llama2,fp32,32,2.7299676186309796e-08,7.96188009966059e-09,0.0,43
llama2,fp16,32,1.2420788122469162e-06,3.094636818190555e-07,0.0,53
llama2,fp32,32,1.9699765801267644e-08,5.657171350077414e-09,0.0,53
llama2,fp16,32,7.679796776682846e-06,1.911716446423295e-06,0.0,81
llama2,fp32,32,3.823013594583813e-08,8.302430455804644e-09,0.0,81
llama2,fp16,32,7.213747098555601e-06,1.8116231075837597e-06,0.0,62
llama2,fp32,32,2.7224509369094818e-08,2.8700590237740187e-09,0.0,62
llama2,fp16,32,1.2459033098544126e-06,3.1135381600710943e-07,0.0,52
llama2,fp32,32,1.7667822843625558e-08,3.4216420998628427e-09,0.0,52
llama2,fp16,32,8.590714468126315e-06,2.1475254166625213e-06,0.0,104
llama2,fp32,32,3.536933323999847e-08,1.088840059781937e-08,0.0,104
llama2,fp16,32,5.828070382296602e-06,1.46095507971844e-06,0.0,74
llama2,fp32,32,3.84889107807318e-08,8.751529875783426e-09,0.0,74
llama2,fp16,32,1.3545826050842535e-06,3.2908861855029947e-07,0.0,81
llama2,fp32,32,1.389610282398479e-08,4.03847779523181e-09,0.0,81
llama2,fp16,32,6.468377058421737e-07,1.6228029012244072e-07,0.0,60
llama2,fp32,32,1.9721602319971998e-08,2.1098084668214057e-09,0.0,60
llama2,fp16,32,2.238502366802564e-06,5.619754717967052e-07,0.0,85
llama2,fp32,32,2.125012531911663e-08,4.912580188129456e-09,0.0,85
llama2,fp16,32,8.962725845940156e-07,2.2238910224459119e-07,0.0,55
llama2,fp32,32,3.541996107525591e-08,1.577371218017265e-09,0.0,55
llama2,fp16,32,1.1350728530423737e-06,2.8037852145557096e-07,0.0,71
llama2,fp32,32,2.8085012621081873e-08,4.530724739826297e-09,0.0,71
llama2,fp16,32,5.428023179598895e-06,1.3607021811523623e-06,0.0,85
llama2,fp32,32,2.0811045360960567e-08,1.0425983056061572e-08,0.0,85
llama2,fp16,32,1.634834436936572e-06,4.0102677928421926e-07,0.0,54
llama2,fp32,32,2.497149316840752e-08,5.370414614316171e-09,0.0,54
llama2,fp16,32,4.3386967764069695e-06,1.087861488816358e-06,0.0,75
llama2,fp32,32,3.6612127163326846e-08,4.634766438693649e-09,0.0,75
llama2,fp16,32,3.4992163011615673e-06,8.766132615911637e-07,0.0,76
llama2,fp32,32,1.9058312254738308e-08,6.8256282900053256e-09,0.0,76
llama2,fp16,32,1.7156920422700672e-06,4.293120796985961e-07,0.0,69
llama2,fp32,32,1.1497774715825415e-08,2.4340926611538666e-09,0.0,69
llama2,fp16,32,5.689811546805146e-06,1.427270988479945e-06,0.0,68
llama2,fp32,32,2.610186723706054e-08,6.676036879565972e-09,0.0,68
llama2,fp16,32,9.706211970208585,0.6105134402866668,0.96875,50
llama2,fp32,32,2.2706262388545728e-08,6.748504619707996e-09,0.0,50
llama2,fp16,32,5.952345266013737e-06,1.482362711802132e-06,0.0,79
llama2,fp32,32,5.130419815368992e-08,8.479594037352767e-09,0.0,79
llama2,fp16,32,7.1472870981637016e-06,1.7763668715975456e-06,0.0,56
llama2,fp32,32,1.8799311191086687e-08,1.280866779307388e-08,0.0,56
llama2,fp16,32,1.2390670649509161e-06,3.0102400211395874e-07,0.0,94
llama2,fp32,32,3.188915256857605e-08,3.711623983854162e-09,0.0,94
llama2,fp16,32,6.5120216810043985e-06,1.638659011149457e-06,0.0,112
llama2,fp32,32,3.9384105754436405e-08,1.3795387887594046e-08,0.0,112
llama2,fp16,32,5.785525480542231e-06,1.4410868224221107e-06,0.0,58
llama2,fp32,32,4.2383356740893774e-08,7.794273209488223e-09,0.0,58
llama2,fp16,32,5.686037885643813e-06,1.434091790795261e-06,0.0,63
llama2,fp32,32,1.1737898516002594e-08,7.59803066105203e-09,0.0,63
llama2,fp16,32,7.91530248633876e-06,1.9748054245205537e-06,0.0,133
llama2,fp32,32,2.7748692815743325e-08,8.960147415693065e-09,0.0,133
llama2,fp16,32,5.009130117139549e-06,1.2486015567581e-06,0.0,55
llama2,fp32,32,4.6514844531664323e-08,8.986317898140861e-09,0.0,55
llama2,fp16,32,5.6598486963821415e-06,1.4118353193204314e-06,0.0,83
llama2,fp32,32,2.264896767356639e-08,6.070726074614008e-09,0.0,83
llama2,fp16,32,4.579621935674183e-06,1.1405880633308385e-06,0.0,67
llama2,fp32,32,3.257782532628539e-08,4.717648355301307e-09,0.0,67
llama2,fp16,32,8.183920772397713e-06,2.0490479396562122e-06,0.0,108
llama2,fp32,32,4.090605176809703e-08,1.1692077167557713e-08,0.0,108
llama2,fp16,32,4.3769820078365385e-06,1.0856986999430163e-06,0.0,74
llama2,fp32,32,2.7870670930851826e-08,4.468712345908482e-09,0.0,74
llama2,fp16,32,4.312138705164781e-06,1.0834602980902552e-06,0.0,102
llama2,fp32,32,1.785649406116363e-08,8.47339998166774e-09,0.0,102
llama2,fp16,32,2.6803745762915554e-06,6.744901088762134e-07,0.0,65
llama2,fp32,32,4.0264865969197317e-08,5.4770785060109795e-09,0.0,65
llama2,fp16,32,9.005052937993696e-06,2.2493655968958137e-06,0.0,94
llama2,fp32,32,3.769017026256094e-08,6.57821659644231e-09,0.0,94
llama2,fp16,32,1.2033006549644343e-06,2.941782192046605e-07,0.0,42
llama2,fp32,32,2.0918034708897193e-08,6.144265463168402e-09,0.0,42
llama2,fp16,32,4.445603166702838e-06,1.1073143501294513e-06,0.0,81
llama2,fp32,32,2.621641062572344e-08,1.0624568728273553e-08,0.0,81
llama2,fp16,32,1.981310298049266e-06,4.928725580999327e-07,0.0,88
llama2,fp32,32,3.8608319763433485e-08,3.059839111252405e-09,0.0,88
llama2,fp16,32,9.376220834411697e-06,2.3369608457279867e-06,0.0,59
llama2,fp32,32,3.590310049261802e-08,8.786018065864987e-09,0.0,59
llama2,fp16,32,5.205784279205261e-07,1.264345139695422e-07,0.0,93
llama2,fp32,32,3.077067269735556e-08,4.016559911057538e-09,0.0,93
llama2,fp16,32,1.4047743174816496e-06,3.517796855895261e-07,0.0,81
llama2,fp32,32,2.4571789492000562e-08,3.221616005650435e-09,0.0,81
llama2,fp16,32,6.815147917116349e-06,1.7003740642174137e-06,0.0,64
llama2,fp32,32,4.206200129863724e-08,2.882836188516924e-09,0.0,64
llama2,fp16,32,1.1680211424724973e-06,2.923890208145208e-07,0.0,55
llama2,fp32,32,3.080024200269316e-08,6.330205901128316e-09,0.0,55
llama2,fp16,32,3.832367832856676e-06,9.573313334843014e-07,0.0,55
llama2,fp32,32,2.4314354668542038e-08,6.067631799777651e-09,0.0,55
llama2,fp16,32,5.695761846169489e-06,1.4221376224976545e-06,0.0,90
llama2,fp32,32,3.6908383682643375e-08,1.4158896444183e-08,0.0,90
llama2,fp16,32,6.038484705594982e-07,1.43283475501077e-07,0.0,58
llama2,fp32,32,1.4813750261188918e-08,4.7655752716431465e-09,0.0,58
llama2,fp16,32,3.1828043005610596e-06,7.933925113001727e-07,0.0,66
llama2,fp32,32,2.6144819031959088e-08,4.373337357185814e-09,0.0,66
llama2,fp16,32,1.0399645464787e-06,2.644055916989352e-07,0.0,98
llama2,fp32,32,2.5748961358929012e-08,1.8080171740189957e-09,0.0,98
llama2,fp16,32,5.470140760799325e-06,1.3678841667141839e-06,0.0,46
llama2,fp32,32,4.490970087478452e-08,9.520953733743731e-09,0.0,46
llama2,fp16,32,7.219492160204233e-06,1.8014261859433667e-06,0.0,47
llama2,fp32,32,1.7106988062232098e-08,8.710127563649195e-09,0.0,47
llama2,fp16,32,5.1137441431949355,0.34856305696299383,0.5625,63
llama2,fp32,32,3.1750379769768244e-08,1.840658549190355e-08,0.0,63
llama2,fp16,32,5.586920951095031e-06,1.3987079068855657e-06,0.0,47
llama2,fp32,32,2.9371407972433872e-08,1.1107000846832804e-08,0.0,47
llama2,fp16,32,7.038323292629656e-06,1.7531109576252035e-06,0.0,54
llama2,fp32,32,3.010398441638529e-08,9.010485649274536e-09,0.0,54
llama2,fp16,32,8.807797006182838e-07,2.2109117177315785e-07,0.0,51
llama2,fp32,32,2.7387202443385217e-08,3.854256854646243e-09,0.0,51
llama2,fp16,32,1.992818710494504e-06,5.02277847230781e-07,0.0,100
llama2,fp32,32,1.3682479232945965e-08,6.344238193817242e-09,0.0,100
llama2,fp16,32,2.552326473725941e-06,6.463046935412109e-07,0.0,46
llama2,fp32,32,2.6874799427534235e-08,4.31318317173357e-09,0.0,46
llama2,fp16,32,1.5877135479680504e-06,3.9818460252638577e-07,0.0,86
llama2,fp32,32,2.06933492841177e-08,3.5623640530502154e-09,0.0,86
